target_comb_idx,R1_chatgpt,R2_chatgpt,R3_chatgpt,C1_chatgpt
10_31,0,0,0,0
113_415,0,0,0,1
11_450,0,0,1,0
130_4,1,0,0,0
15_153,0,0,0,0
169_93,0,0,0,0
191_36,1,1,0,0
198_133,0,0,1,0
2015_342,0,0,0,0
2041_277,0,0,1,0
2085_185,0,0,1,0
209_75,1,1,1,0
2108_275,1,1,1,0
2108_363,0,0,1,0
2128_143,0,0,1,1
2141_454,0,0,0,0
2158_32,0,0,1,0
2254_55,0,0,0,0
2254_66,0,0,0,0
226_11,0,0,1,0
2298_269,0,0,1,0
23_60,1,0,0,0
245_361,0,0,0,0
2468_145,0,0,1,0
2471_113,0,0,0,0
2476_179,0,0,1,0
2483_254,0,0,0,0
2491_89,1,1,0,0
250_50,1,1,0,0
2521_164,0,0,1,0
2529_98,0,0,0,0
2610_308,0,0,1,0
2627_110,0,0,1,0
264_132,0,0,1,0
2699_3,0,0,0,1
2727_627,0,0,0,0
2797_113,0,0,1,0
2817_148,0,0,1,0
2846_138,0,0,1,0
28_4,1,0,1,0
2921_209,0,0,1,0
2933_137,0,0,1,0
2935_211,0,0,0,0
2964_320,0,0,0,0
298_137,0,0,1,0
299_245,1,0,1,0
3013_316,0,0,0,0
3015_390,0,0,1,0
3019_617,0,0,0,0
303_38,0,0,1,0
313_524,0,0,1,0
321_178,0,0,0,0
373_175,0,0,0,0
4040_14,0,0,1,0
4064_272,0,0,1,0
4067_555,0,0,1,0
4074_273,0,0,1,0
4078_492,0,0,0,0
4093_14,0,0,1,0
4151_114,0,0,1,0
4161_356,0,0,1,0
4191_340,0,0,0,0
4205_357,0,0,1,0
4248_190,0,0,1,0
4333_278,0,0,0,0
4411_73,0,0,1,1
4418_307,0,0,0,0
4420_76,0,0,0,0
4470_416,1,0,0,0
4478_959,0,0,1,0
4478_96,0,0,1,0
4485_53,1,0,0,0
4562_356,0,0,1,1
457_226,0,0,1,0
4615_124,0,0,1,0
4628_223,0,0,1,0
4632_11,1,0,0,0
4668_156,0,0,0,0
470_503,0,0,1,0
4727_384,0,0,0,0
4727_653,0,0,0,0
4732_114,0,0,0,0
4760_527,0,0,1,0
478_35,1,0,0,0
47_10,0,0,0,0
480_329,0,0,1,0
487_55,0,0,0,0
495_485,0,0,1,0
516_92,1,0,0,0
517_363,0,0,1,0
51_305,0,0,0,0
522_188,1,0,0,0
524_115,0,0,0,0
524_369,0,0,0,0
525_43,0,0,1,0
526_344,0,0,0,0
569_34,0,0,1,0
577_2,0,0,1,0
623_95,1,1,1,0
637_279,0,0,0,0
65_42,0,0,1,0
66_76,0,0,1,0
70_151,0,0,0,0
737_492,0,0,1,0
742_187,1,0,1,0
752_536,0,0,0,0
766_228,0,0,1,1
768_186,0,0,0,0
781_366,0,0,1,0
843_69,1,0,0,0
8_151,0,0,1,0
904_207,1,0,1,0
90_713,0,0,0,0
919_138,0,0,1,0
968_156,0,0,1,0
968_172,0,0,1,0
